UserId,segment,review_count,avg_score,helpful_votes,helpfulness_ratio,pct_positive,advocacy_score,last_review
A3QDITMY3OOYRP,Loyal,23,4.83,45,0.957,95.65217391304348,96.5,2011-05-24
AE4PE48Q2794I,Champions,18,4.94,35,1.0,94.44444444444444,96.3,2012-09-13
A3OXHLG6DIBRW8,Champions,278,4.55,513,0.968,92.08633093525181,96.0,2012-10-24
A3NEAETOSXDBOM,Champions,66,4.91,128,0.992,87.87878787878788,96.0,2012-09-19
A1X1CEGHTHMBL1,Champions,72,4.85,26,1.0,84.72222222222221,95.4,2012-10-20
AF72GTWZGAC61,Champions,41,4.71,146,0.98,87.8048780487805,95.3,2012-07-18
AYB4ELCS5AM8P,Champions,66,4.79,189,0.969,89.39393939393939,95.3,2012-09-20
A32B6A532454UD,Champions,17,4.82,11,1.0,94.11764705882352,95.2,2012-08-16
AEP0XAC6F8N2Y,Champions,22,4.95,38,1.0,81.81818181818183,94.5,2012-08-15
AO0HPTFIKQE9B,Champions,26,4.85,61,0.953,88.46153846153845,94.2,2012-10-23
A35MDIBPAX9X7U,Champions,14,5.0,13,1.0,100.0,94.0,2012-06-15
ALDAF4VVLFRHP,Champions,40,4.6,16,1.0,80.0,94.0,2012-08-22
AH6BI8F3EE6K1,Champions,26,4.92,60,0.923,92.3076923076923,93.8,2012-04-01
A2YO8731SKDKLL,Champions,30,5.0,53,0.914,93.33333333333333,93.7,2012-10-03
AW6J9IILGOZY3,Champions,22,3.91,161,0.953,86.36363636363636,93.6,2012-08-15
AM8J1UVGVYAL4,Champions,17,4.41,10,1.0,88.23529411764706,93.5,2012-08-21
A2KQT4D0OZR569,Champions,25,4.52,47,0.887,96.0,93.2,2012-08-23
A1SCQYLCP16AK3,Champions,15,4.93,13,1.0,93.33333333333333,93.0,2012-07-22
ANMA1H8LGEVBF,Champions,21,3.81,233,0.967,80.95238095238095,92.6,2012-08-22
A1KZUXE70GYNGO,Champions,20,4.05,12,1.0,75.0,92.5,2012-10-18
A2A9X58G2GTBLP,Champions,42,4.98,54,0.964,80.95238095238095,92.5,2012-09-13
A2L6BT1PVV9YN0,Champions,21,4.38,57,0.905,90.47619047619048,92.4,2012-07-19
A3RYMO6S22FMM5,Champions,27,4.56,66,0.93,85.18518518518519,92.1,2012-09-14
A2D1LPEUCTNT8X,Champions,66,4.56,128,0.985,75.75757575757575,92.0,2012-09-26
A19XMHRB3G4DIR,Champions,34,4.47,242,0.945,82.35294117647058,92.0,2012-09-10
A1R377IPZOKLMM,Champions,26,4.85,18,1.0,73.07692307692307,91.9,2012-10-21
A315S3F1NHG7Y8,Champions,26,4.54,16,1.0,73.07692307692307,91.9,2012-08-30
AQ52JX9ES6XYY,Champions,51,4.84,105,0.929,84.31372549019608,91.7,2012-10-17
AY54QSGO3KWEM,Loyal,16,4.63,63,0.913,100.0,91.6,2011-06-01
A1K82R24ROO2I7,Champions,78,4.58,239,0.984,74.35897435897436,91.5,2012-09-20
