month,reviews,active_users,avg_score,new_users
2007-01,2107,1839,4.4,1729
2007-02,1102,960,4.36,871
2007-03,1421,1214,4.36,1087
2007-04,747,655,4.44,569
2007-05,1517,1321,4.45,1166
2007-06,994,884,4.34,766
2007-07,1143,961,4.36,851
2007-08,1177,1034,4.41,899
2007-09,1217,1045,4.41,914
2007-10,1293,1113,4.35,959
2007-11,1436,1251,4.39,1084
2007-12,1641,1460,4.37,1303
2008-01,1892,1681,4.36,1477
2008-02,1906,1629,4.37,1431
2008-03,1626,1418,4.38,1184
2008-04,1830,1627,4.36,1350
2008-05,2129,1822,4.4,1471
2008-06,1973,1696,4.3,1333
2008-07,2033,1762,4.33,1381
2008-08,1804,1580,4.32,1274
2008-09,1685,1510,4.34,1208
2008-10,1845,1619,4.33,1253
2008-11,2092,1795,4.35,1418
2008-12,2317,2031,4.29,1628
2009-01,2810,2434,4.37,2026
2009-02,2833,2469,4.26,1946
2009-03,3364,2796,4.22,2109
2009-04,2954,2527,4.32,1949
2009-05,2896,2463,4.29,1843
2009-06,3256,2776,4.28,2024
2009-07,2707,2236,4.23,1601
2009-08,2810,2395,4.25,1927
2009-09,3499,3021,4.33,2408
2009-10,3492,2972,4.28,2350
2009-11,3475,3021,4.29,2373
2009-12,3800,3327,4.24,2675
2010-01,4125,3573,4.22,2861
2010-02,4440,3878,4.32,3149
2010-03,4465,3935,4.24,3053
2010-04,4095,3568,4.28,2790
2010-05,4078,3600,4.28,2888
2010-06,3911,3400,4.24,2626
2010-07,4764,4176,4.22,3301
2010-08,4714,4144,4.21,3279
2010-09,5412,4763,4.17,3793
2010-10,5422,4715,4.17,3723
2010-11,5793,5096,4.2,3978
2010-12,6784,6028,4.11,4772
2011-01,8226,7198,4.13,5741
2011-02,7880,6786,4.12,5115
2011-03,8847,7489,4.19,5552
2011-04,8197,7033,4.18,5327
2011-05,7715,6694,4.19,5028
2011-06,8001,6845,4.12,5141
2011-07,8568,7317,4.12,5413
2011-08,9709,8277,4.14,5984
2011-09,10301,8641,4.17,6396
2011-10,11386,9529,4.12,6887
2011-11,11291,9470,4.13,6725
2011-12,13374,11398,4.09,8817
2012-01,14861,12467,4.12,9617
2012-02,13124,10880,4.1,8024
2012-03,13574,11093,4.09,7959
2012-04,12542,10486,4.1,7502
2012-05,13039,10813,4.1,7649
2012-06,13126,10708,4.08,7560
2012-07,14542,12180,4.13,8940
2012-08,14471,11855,4.12,8561
2012-09,15352,13005,4.11,9698
2012-10,14555,12483,4.17,9292
